No,Bahan,Satuan (gr),Protein(gr),Lemak(gr),Karbohidrat(gr),Protein(kal),Lemak(kal),Karbohidrat(kal),Harga (IDR),total kalori
24,Kacang Merah Rebus (Segar),100,10.3,0.9,28.2,41.2,8.1,112.8,3900,162.1
25,Bayam ,100,0.9,0.4,2.9,3.6,3.6,11.6,2320,18.8
26,Apel,200,0.3,0.4,14.9,1.2,3.6,59.6,6800,64.4
27,Jengkol segar,95,5.4,0.3,40.7,21.6,2.7,162.8,2800,187.1
28,Udang,150,21,0.2,0.1,84,1.8,0.4,13720,86.2
29,Terong segar,100,1.1,0.2,5.5,4.4,1.8,22,1200,28.2
30,Sawi segar,100,2.3,0.3,4,9.2,2.7,16,1670,27.9
31,Telur Bebek Asin,83,13.6,13.3,4.4,54.4,119.7,17.6,2950,191.7
32,Keju,200,22.8,20.3,13.1,91.2,182.7,52.4,20100,326.3
33,Wortel segar,80,1,0.6,7.9,4,5.4,31.6,1500,41
34,Otak sapi,100,10.4,8.6,0.8,41.6,77.4,3.2,22938,122.2
35,Pisang raja,130,1.2,0.2,31.8,4.8,1.8,127.2,3900,133.8
36,Sukun muda,200,2.8,0.4,56.2,11.2,3.6,224.8,4000,239.6
37,Daun kelor,100,6.1,0.9,10,24.4,8.1,40,6800,72.5
38,Nanas,500,0.6,0.3,9.9,2.4,2.7,39.6,10000,44.7
39,Alpukat,61,0.9,6.5,7.7,3.6,58.5,30.8,2890,92.9
40,Kentang hitam,100,0.9,0.4,33.7,3.6,3.6,134.8,2250,142
41,Ganyong,100,0.6,0.2,18.4,2.4,1.8,73.6,2550,77.8
42,Cempedak,100,3,0.4,28.6,12,3.6,114.4,3000,130
43,Putri malu,100,3.6,0.3,14.6,14.4,2.7,58.4,2640,75.5
44,Kacang arab,100,23.8,1.4,60.2,95.2,12.6,240.8,2850,348.6
45,Ikan cakalang,100,19.6,0.7,5.5,78.4,6.3,22,2800,106.7
46,Telur burung puyuh,50,10.7,7,1.6,42.8,63,6.4,4200,112.2
